Merk,Soort,Percentage alcohol,Brouwerij
Tumulus Aura,tarwebier,"5,5%",De Proefbrouwerij in opdracht van De Kale Ridders,?-heden
Tumulus Magna,tarwebier,9%,De Proefbrouwerij in opdracht van De Kale Ridders,2008-heden
Tumulus Nera,tarwebier,8%,De Proefbrouwerij in opdracht van De Kale Ridders,?-heden
Turnhoutse Patriot,saison,"6,5%",Hobbybrouwerij Het Nest,2012-heden
Tuverbol,gemengde gisting,11%,Brouwerij Loterbol,2006-heden
Uilenspiegelbier,dubbel,7%,Brouwerij Van Steenberge,1957-heden
Uitzet 1730,tripel,"6,8%",Brouwerij Paeleman,1730-heden
Uitzet Kriekbier,fruitbier,"7,5%",Brouwerij Paeleman,?-heden
Ulricher Extra,pils,5%,Brouwerij Girardin,?-heden
Ultra Ambrée,"ale, amber, hoge gisting",7%,Brasserie d'Ecaussinnes,2001-heden
Ultra Fraîche,lichtblond,"3,5%",Brasserie d'Ecaussinnes,2006-heden
Ultra Soif,"blond, hoge gisting",5%,Brasserie d'Ecaussinnes,2002-heden
Ultramour,fruitbier,5%,Brasserie d'Ecaussinnes,2002-heden
Ultra Blonde,blond,8%,Brasserie d'Ecaussinnes,2001-heden
Ultradélice,bruin,8%,Brasserie d'Ecaussinnes,2003-heden
Ultrabrune,donkerbruin,10%,Brasserie d'Ecaussinnes,2001-heden
Unkerzak,blond,7%,De Proefbrouwerij,1997-heden
"Urania ""Daughter of Zeus""",bruin,"9,5%",Brouwerij Eutropius in opdracht van Castalia Craft Beers,2018-heden
Urchon,hoge gisting,"7,5%",Brasserie des Légendes,?-heden
Urthel Hop-It,blonde India Pale Ale,"9,5%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2005-heden
Urthel Hibernus Quentum,tripel,9%,Brouwerij De Leyerth,2000-2010
Urthel Novicius Vertus,donker speciaalbier,"5,9%",Brouwerij Urthel,2000-2004
Urthel Parlus Magnificum,donkerbruin,"7,5%",Brouwerij De Leyerth,?-2010
Urthel Saisonnière,blond speciaalbier,"6,0%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2009-heden
Urthel Samaranth,"amberkleurig speciaalbier, hoge gisting","11,5%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2002-heden
Urthel Vlaemse Bock,donkerbruin,"7,5%",Brouwerij De Leyerth,?-2010
Urthel Tonicum Finiboldus,amber,"7,5%",Brouwerij De Leyerth,2000-2004
Val-Dieu Blonde,Erkend Belgisch abdijbier,6%,Brouwerij Val-Dieu,1997-heden
Val-Dieu Brune,Erkend Belgisch abdijbier,8%,Brouwerij Val-Dieu,1997-heden
Val-Dieu Bière de Noël,Erkend Belgisch abdijbier,7%,Brouwerij Val-Dieu,?-heden
Val-Dieu Grand Cru,Erkend Belgisch abdijbier,"10,5%",Brouwerij Val-Dieu,?-heden
Val-Dieu Triple,"Erkend Belgisch abdijbier, tripel",9%,Brouwerij Val-Dieu,1998-heden
Val-Dieu Triple,tripel,%,Brasserie d'Aubel,?-1995
Val-Dieu Triple,tripel,9%,Brouwerij Van Honsebroeck,1984-?
Valeir Blond,"hoge gisting, blond","6,5%",Brouwerij Contreras,2004-heden
Valeir Divers,"hoge gisting, tripel","8,5%",Brouwerij Contreras,2005-heden
Valeir Donker,hoge gisting,"6,5%",Brouwerij Contreras,2006-heden
Valeir Extra,"hoge gisting, IPA","6,5%",Brouwerij Contreras,2008-heden
Vals Paterke,tripel,"8,3%",t'Drankorgel,
Vanderghinste oud bruin,West-Vlaams roodbruin,"5,5%",Brouwerij Bockor,1892-heden
Vapeur cochonne,Belgian ale,9%,Brasserie à Vapeur,1992-heden
Vapeur cochonnette,Belgian ale,9%,Brasserie à Vapeur,1992-heden
Vapeur en Folie,Belgian ale,8%,Brasserie à Vapeur,?-heden
Vapeur Légère,Blond,6%,Brasserie à Vapeur,?-heden
Vat 44,geuze,8%,Brouwerij Boon,
Vedett Extra Blond,blond,"5,2%",Brouwerij Duvel Moortgat,1945-heden
Vedett Extra White,witbier,"4,7%",Brouwerij Duvel Moortgat,2008-heden
Vedett Extra ordinary IPA,blond,6%,Brouwerij Duvel Moortgat,2014-heden
Verhaeghe Pils,pils,"5,1%",Brouwerij Verhaeghe,?-heden
Vicardin,tripel-gueuze,7%,Brouwerij Dilewyns,2007-2012
Vicaris 5,hoge gisting,5%,Brouwerij Dilewyns,2011-2012
Vicaris Generaal,hoge gisting,"8,8%",Brouwerij Dilewyns,2006-heden
Vicaris Kerst,"hoge gisting, kerstbier",10%,Brouwerij Dilewyns,2009-2011
Vicaris Tripel,"hoge gisting, tripel","8,5%",Brouwerij Dilewyns,2005-heden
Vicaris Tripel Geuze,"hoge gisting, tripel",%,Brouwerij Dilewyns,2012-heden
Vicaris Quinto,hoge gisting,5%,Brouwerij Dilewyns,2012-heden
Vicaris Winter,"hoge gisting, kerstbier",10%,Brouwerij Dilewyns,2011-heden
Vichtenaar,roodbruine ale,"5,1%",Brouwerij Verhaeghe,?-heden
Vieux Bruges Blanche,"etiketbier, witbier","4,5%",Brouwerij Van Honsebrouck,1992-?
Vieux Bruges Framboise,fruitbier,"5 en 4,5%",Brouwerij Van Honsebrouck,?-heden
Vieux Bruges Gueuze,geuze,5%,Brouwerij Van Honsebrouck,?-heden
Vieux Bruges Kriek,etiketbier,"3,2%",Brouwerij Van Honsebrouck,?-heden
Vieux Bruges Kriek Lambic,etiketbier,5%,Brouwerij Van Honsebrouck,?-heden
Vieux Bruges Peche,fruitbier,"3,5%",Brouwerij Van Honsebrouck,?-heden
Vieux Bruxelles Gueuze,etiketbier,5%,Brouwerij Van Honsebrouck,?-heden
Vieux Bruxelles Kriek,etiketbier,4%,Brouwerij Van Honsebrouck,?-heden
Vieux Temps,speciale belge,"5,2%",AB Inbev,
Villers Tripel,"abdijbier, tripel",8%,Brouwerij Huyghe,
Villers Vieille,abdijbier,7%,Brouwerij Huyghe,
Vigneronne,"fruitbier, lambiek",6%,Brouwerij Cantillon,?-heden
Vinkenier,streekbier,"10,8%",Brouwerij Eutropius,?-heden
Viven Ale,speciale belge,5%,Beerdevelopment Viven,2010-heden
Viven Blond,blond,"6,1%",Beerdevelopment Viven,1999-2003 en 2006-heden
Viven Bruin,dubbel,"6,1%",Beerdevelopment Viven,1999-2003 en 2006-heden
Viven Imperial IPA,Imperial IPA,8%,Beerdevelopment Viven,2010-heden
Viven Porter,smoked Porter,7%,Beerdevelopment Viven,2010-heden
Vlaamsch Wit,witbier,"4,5%",Brouwerij Van Honsebrouck,1992-?
Vlaamsche Leeuw Blondje,blond,"5,5%",De Brouwerij van Vlaanderen,2002-2011
Vlaamsche Leeuw Donker,bruin,"7,5%",De Brouwerij van Vlaanderen,2002-heden
Vlaamsche Leeuw Tripel,tripel,"8,5%",De Brouwerij van Vlaanderen,2002-heden
Vlasbier,blond,"6,5%",Brouwerij Van Eecke,?-heden
Vlaskapelle,Vlaams roodbruin,5%,Brouwerij Gulden Spoor,?-?
Vlaskop,witbier,"5,5%",Brouwerij Strubbe,?-heden
Vleteren Alt,ale donker,8%,Brouwerij Deca,?-2013
Vleteren Bruin,donkere ale,8%,Brouwerij Deca,2013-heden
Vleteren Super 8 Blond,blond,8%,Brouwerij Deca,1991-2008
Vondel,donkerbruin,"8,5%",Brouwerij Liefmans,?-2007
Vossen met de Meynen Blond,etiketbier,"6,5%",Brouwerij Het Anker,2008-?)
Vossen met de Meynen 69,"hoge gisting, blond","6,9%",Brouwerij Hof ten Dormaal,?-?
Vurig Bierreke,tripel,"11,5%",Brouwerij DijkWaert,2010-heden
Vuuve,witbier,5%,Brouwerij De Regenboog,2000-2010
Waardams Blond,blond,"6,1%",Brouwerij Stokhove,
Waardamse Dubbel,bruin,7%,Brouwerij Stokhove,
Waardamse Tripel,tripel,"8,6%",Brouwerij Stokhove,
Waas Klok Bier Bruin,donker,"8,5%",Brouwerij Boelens,1995-heden
Waas Klok Bier Tripel,tripel,"8,5%",Brouwerij Boelens,2009-heden
Waase Wolf,amber,6%,Brouwerij Boelens,2001-heden
Waaslander,witbier,5%,Brouwerij Boelens,2005-heden
Waterloo Tripel 7 Blond,blond,,Brasserie du Marché,?-1971
Waterloo Double 8 Dark,bruin,"8,5%",Brasserie Du Bocq,2005-heden
Waterloo Tripel 7 Blond,blond,"7,5%",Brasserie Du Bocq,2005-heden
Watneys Scotch Ale,scotch,8%,"Brouwerij Union, later Alken-Maes",ca 1920-heden
Watou Tripel,tripel,"7,5%",Brouwerij St. Bernardus,1998-heden
Watou's Wit,witbier,5%,Brouwerij Van Eecke,1988-heden
Wechelse Tripel,etiketbier,"7,5%",café Den Toerist,ca 2009-heden
West Pils,pils,5%,Brouwerij Het Sas,1986-heden
Westmalle Dubbel,trappist,7%,Brouwerij Westmalle,1856-heden
Westmalle Tripel,trappist,"9,5%",Brouwerij Westmalle,1934-heden
Westmalle Extra,trappist,"4,8%",Brouwerij Westmalle,?-heden
Westoek X,hoge gisting,6%,De Struise Brouwers,
Westoek XX,hoge gisting,8%,De Struise Brouwers,
Westvleteren Blond,trappist,"5,8%",Sint-Sixtusabdij van Westvleteren,?-heden
Westvleteren Zes,trappist,"6,2%",Sint-Sixtusabdij van Westvleteren,1998-heden
Westvleteren Acht,trappist,8%,Sint-Sixtusabdij van Westvleteren,?-heden
Westvleteren Twaalf,trappist,"10,2%",Sint-Sixtusabdij van Westvleteren,?-heden
Wevelgemse Tripel,tripel,8%,Bierwinkel Bacelle,1997-heden
White by Mystic,witbier,"5,1%",Brouwerij Haacht,2011-heden
Wieze Christmas Tripel Hop,tripel kerstbier,8%,Brouwerij Wieze,2013
Wieze Pils,pils,%,Brouwerij Van Roy,1866?-1997
Wieze Tripel,tripel,8%,Wieze Beer Belgium,2013-heden
Wieze Tripel Blond,tripel,8%,Brouwerij Wieze,2009-2013
Wieze Tripel zoet Bruin,tripel,8%,Brouwerij Wieze,2009-2013
Wildebok,"hoge gisting, bockbier","6,5%",De Scheldebrouwerij,1995-heden
Wilderen Goud,hoge gisting,"6,2%",Brouwerij Wilderen,2011-heden
Wilderen Kriek,kriek,"3,5%",Brouwerij Wilderen,2012-heden
Wilderen Cuvee Clarisse,roodbier,9.2%,Brouwerij Wilderen,?-heden
Wild Jo,"blond, met wilde gisten","5,8%",Brouwerij De Koninck,
Willy Kriegelbier,donkerblond,7%,Huisbrouwerij Sint Canarus,2007-?
Winter Zjef,winterbier,9%,Brouwerij 't Paenhuys,
Winterkoninck,robijnrood,"6,5%",Brouwerij De Koninck,2002-2011
Winterkoninkske,hoge gisting,"8,3%",brouwerij Kerkom,2000-heden
Winterkoninkske Haspengouwse Grand Cru,"hoge gisting, kerstbier",13%,brouwerij Kerkom,2009-heden
Wintersnood,winterbier,"6,4%",De Verhuisbrouwerij,2010-?
Witbier Haacht,witbier,"5,1%",Brouwerij Haacht,1989-2011
Wit Goud,hoge gisting,8%,Brouwerij Hof ten Dormaal,2010-heden
Witheer,witbier,6.2%,Scheldebrouwerij,1998-2002
Witheer,witbier,5%,Scheldebrouwerij,2002-heden
Witkap Pater Dubbel,"hoge gisting, bruin",7%,Brouwerij Slaghmuylder,?-heden
Witkap Pater Special,"hoge gisting, amber","5,5%",Brouwerij Slagmuylder,2004-heden
Witkap Pater Stimulo,"hoge gisting, blond",6%,Brouwerij Slaghmuylder,?-heden
Witkap Pater Tripel,"hoge gisting, tripel","7,5%",Brouwerij Slagmuylder,?-heden
Wittekerke,witbier,5%,Brouwerij Bavik,1998-heden
Wittekerke Passion,"witbier, fruitbier","5,8%",Brouwerij Bavik,
Wittekerke Rosé,"witbier, fruitbier","4,3%",Brouwerij Bavik,2005-heden
Wittekerke Special,witbier,"5,8%",Brouwerij Bavik,1999-heden
Witte Madam,"hoge gisting, amber","8,5%",Scheldebrouwerij Hoogstraten,
Witte Pol,witbier,"5,6%",Brouwerij Inter-Pol,
Wittoen,"hoge gisting, tripel",7%,Brouwerij Strubbe,2004-heden
Wolf 6,blond,"6,9%",Brouwerij Lupus,2015-heden
Wolf 7,blond,"7,4%",Brouwerij Lupus,?-heden
Wolf 8,donkerbruin,"8,5%",Brouwerij Lupus,2008-heden
Wolf 9,amber,9%,Brouwerij Lupus,2008-heden
Wolf Carte Blanche,blond,"8,5%",Brouwerij Lupus,2014-heden
Wolf Black,,"5,6%",Brouwerij Lupus,2014-heden
Wostyntje,mosterdbier,7%,Brouwerij De Regenboog,1998-2010
Xenophon's Wine,,11%,De Struise Brouwers,
X-Mas Beer,"hoge gisting, blond","8,5%",Brouwerij Contreras,2004-heden
XX Bitter,"hoge gisting, blond","6,2%",Brouwerij De Ranke,1998-heden
XXX Bitter,"hoge gisting, blond",6%,Brouwerij De Ranke,2013-heden
Yperman,ale,"5,5%",Brouwerij Het Sas,1989-heden
Yellow Mortal,ale,"7,2%",Brouwerij Mortal's Beers,
Zatte Bie,donker,9%,Brouwerij De Bie,?-heden
Zeezuiper,goudblonde tripel,8%,De Scheldebrouwerij,1994-heden
Zennenat,hoge gisting,"6,0%",Brouwerij Den Herberg,2011-heden
Zeunt,hoge gisting,7%,het Zeuntcomité,2000-heden
Zeven Zonden Gula,hoge gisting,9%,bierfirma Hugel,2011-heden
Zeven Zonden Invidia,hoge gisting,10%,bierfirma Hugel,2013-heden
Zeven Zonden Luxuria,hoge gisting,"8,5%",bierfirma Hugel,2010-heden
Zingende Blondine,hoge gisting,"9,8%",Brouwerij 't Gaverhopke,2008-heden
Zinnebir,blond,"5,8%",Brasserie de la Senne,2002-heden
Zoeg,pils,5%,brouwerij Pieraerts,1890-1955
Zoeg,pils,5%,Promaco Vision,2010-heden
ZoemZoem,"amber, honingbier",8%,Brouwerij Donum Ignis,2012-heden
Zomer Zjef,stout,9%,Brouwerij 't Paenhuys,
Zonderik 100,"blond, hoge gisting",7%,Zonderik Beer Company,2012-heden
Zonderik Dubbel Donker,hoge gisting,8%,Zonderik Beer Company,2009-heden
Zonderik Tripel,"blond, tripel",8%,Zonderik Beer Company,2009-heden
Zonderix,"amber, tripel",10%,Zonderik Beer Company,2009-heden
Zonnegemse Zot,amber,"7,1%",Oude Brouwerij van Zonnegem vzw,2000-heden
Zotte Bloare,bruin,"5,5%",Brouwerij 't Paenhuys,
Zottegemse Grand Cru,amber,"8,4%",Brouwerij Crombé,
ZUIDerbierke,"hoge gisting, bruinrood","8,2%",Brouwerij Donum Ignis,
Zulte,"hoge gisting, lichtbruin","4,7%",Alken-Maes,
Zwalmse Tripel,tripel,8%,de gemeente Zwalm,2003-heden
Zwarte Piet,bovengisting,8%,Zennebrouwerij,
Zwarte Piet,bruin,"8,5%",Brouwerij Boelens,
Zwarte Pol,stout,"6,5%",Brouwerij Inter-Pol,
Zwarte Zjef,stout,9%,Brouwerij 't Paenhuys,
Zwet.be,stout,7%,Geuzestekerij 3 Fonteinen,
Zwijntje,blond,8%,Brouwerij Bios,1993-heden
